,xyz_string,aimnet2_b97c,aimnet2_wb97m_d3,ani1x,ani2x,ani1ccx,ani1xnr,dft_wb97m_d3bj,dft_anix
0,"26
0 1 0.058933 
C        0.9349010        0.9463030       -1.2660590
C        2.2953520        0.4281850       -1.1406570
C        0.2427550        1.5144260       -0.2710250
H        0.4247480        0.8092610       -2.2156840
C        3.1729770        0.6849540       -0.1628570
H        2.5950450       -0.2580340       -1.9305820
C        0.3346910       -1.0921900        1.5141860
C        1.6098140       -1.4722620        1.5374220
H        2.9595400        1.3847450        0.6410700
H        4.1484200        0.2104100       -0.1483480
H        2.2599410       -1.2543400        2.3783860
H        2.0259160       -2.0185250        0.6972520
H        0.6543010        1.6475830        0.7303670
H       -0.1351160       -0.5438150        2.3251780
O       -1.0229030        1.9595960       -0.4521950
C       -1.7022290        2.3078960        0.7393210
H       -2.6790260        2.6897800        0.4409520
H       -1.8333380        1.4295020        1.3802540
H       -1.1611660        3.0916920        1.2837590
C       -0.5021040       -1.3961750        0.3276060
O       -0.1527510       -2.0241840       -0.6425140
O       -1.7339780       -0.8657420        0.4655410
C       -2.5809590       -1.0203100       -0.6701640
H       -3.5398780       -0.5872760       -0.3877000
H       -2.1567320       -0.4852390       -1.5234690
H       -2.6925240       -2.0767250       -0.9227200
",-15693.337066318405,-15710.89775669514,-15696.02421311591,-15696.053871595053,-15683.694236805657,-2916.6837204140093,-15710.944006699507,-15695.95778014665
1,"26
0 1 0.059346 
C        0.9417950        0.9413040       -1.2593220
C        2.3077420        0.4369390       -1.1422900
C        0.2539150        1.5249020       -0.2701040
H        0.4223760        0.7807300       -2.2000640
C        3.1738770        0.6559530       -0.1448530
H        2.6243220       -0.2074980       -1.9600220
C        0.3356510       -1.0627770        1.4977020
C        1.6079890       -1.4523020        1.5261400
H        2.9452630        1.3085590        0.6937400
H        4.1567760        0.1969390       -0.1481250
H        2.2596210       -1.2289290        2.3645370
H        2.0195950       -2.0136520        0.6938250
H        0.6744260        1.6912330        0.7225630
H       -0.1306290       -0.5024600        2.3025710
O       -1.0190350        1.9500380       -0.4479490
C       -1.6953770        2.3022570        0.7440450
H       -2.6746790        2.6788850        0.4472580
H       -1.8214350        1.4266990        1.3898430
H       -1.1552500        3.0907890        1.2825920
C       -0.5052200       -1.3817300        0.3182220
O       -0.1548880       -2.0093340       -0.6519380
O       -1.7441410       -0.8702200        0.4643030
C       -2.6027890       -1.0564020       -0.6576820
H       -3.5662640       -0.6384570       -0.3681670
H       -2.2006920       -0.5256480       -1.5241810
H       -2.6969540       -2.1181780       -0.8945020
",-15693.335432358781,-15710.893094721543,-15696.00588678262,-15696.028303163906,-15683.68533568127,-2916.6763649841437,-15710.933996145035,-15695.945195457016
2,"26
0 1 0.059803 
C        0.9474770        0.9346240       -1.2523530
C        2.3161570        0.4382250       -1.1393460
C        0.2638180        1.5331850       -0.2689490
H        0.4201610        0.7519980       -2.1845210
C        3.1714760        0.6261610       -0.1259740
H        2.6453800       -0.1752470       -1.9754840
C        0.3381900       -1.0300830        1.4788590
C        1.6072950       -1.4300980        1.5135600
H        2.9301410        1.2425180        0.7360210
H        4.1591460        0.1777290       -0.1389730
H        2.2605500       -1.2006280        2.3490640
H        2.0138260       -2.0085000        0.6905750
H        0.6927330        1.7292030        0.7146190
H       -0.1241330       -0.4562790        2.2765010
O       -1.0153990        1.9407180       -0.4427170
C       -1.6887420        2.2954040        0.7501990
H       -2.6702000        2.6679610        0.4554340
H       -1.8105070        1.4218160        1.3994360
H       -1.1491250        3.0873970        1.2842100
C       -0.5067160       -1.3648190        0.3070330
O       -0.1555680       -1.9924860       -0.6629700
O       -1.7523060       -0.8723220        0.4614590
C       -2.6226210       -1.0919300       -0.6452150
H       -3.5900490       -0.6886800       -0.3482090
H       -2.2437850       -0.5676110       -1.5258600
H       -2.6991870       -2.1588840       -0.8646350
",-15693.32907552884,-15710.883347275587,-15695.983820695765,-15696.001847742526,-15683.677272281144,-2916.659036337467,-15710.921785771097,-15695.929293634576
3,"26
0 1 0.060352 
C        0.9523730        0.9284920       -1.2464040
C        2.3200480        0.4316920       -1.1318340
C        0.2709220        1.5362870       -0.2667870
H        0.4204930        0.7312870       -2.1729130
C        3.1647040        0.5952030       -0.1049440
H        2.6571600       -0.1648830       -1.9768780
C        0.3434450       -0.9940140        1.4573310
C        1.6091520       -1.4047900        1.4980760
H        2.9149330        1.1913770        0.7686090
H        4.1530160        0.1481590       -0.1186030
H        2.2649600       -1.1682450        2.3296010
H        2.0091710       -2.0025540        0.6859380
H        0.7055710        1.7524430        0.7099100
H       -0.1139130       -0.4050690        2.2467680
O       -1.0129410        1.9302960       -0.4365980
C       -1.6834270        2.2872410        0.7572620
H       -2.6661150        2.6579460        0.4643040
H       -1.8029600        1.4150910        1.4087680
H       -1.1432240        3.0810340        1.2880100
C       -0.5062690       -1.3459340        0.2946450
O       -0.1553090       -1.9751500       -0.6746510
O       -1.7577530       -0.8714030        0.4576650
C       -2.6387890       -1.1236920       -0.6332510
H       -3.6093870       -0.7337470       -0.3289540
H       -2.2820950       -0.6069590       -1.5275210
H       -2.6986900       -2.1951990       -0.8351260
",-15693.316755808619,-15710.867568951564,-15695.955349018872,-15695.970750371802,-15683.669142787572,-2916.626116125786,-15710.905829124287,-15695.908296148025
4,"26
0 1 0.061080 
C        0.9567290        0.9240300       -1.2421790
C        2.3201500        0.4198640       -1.1211410
C        0.2752230        1.5349220       -0.2639830
H        0.4235700        0.7197450       -2.1663500
C        3.1533110        0.5634360       -0.0814440
H        2.6619160       -0.1710590       -1.9682010
C        0.3511810       -0.9569090        1.4343200
C        1.6140680       -1.3768490        1.4787400
H        2.8985950        1.1527370        0.7951750
H        4.1385600        0.1094130       -0.0885030
H        2.2738950       -1.1329330        2.3049200
H        2.0059000       -1.9946080        0.6778400
H        0.7130350        1.7620590        0.7086260
H       -0.1001170       -0.3531680        2.2159780
O       -1.0120100        1.9185760       -0.4300690
C       -1.6796420        2.2785140        0.7645830
H       -2.6625440        2.6496760        0.4729740
H       -1.7993220        1.4077270        1.4177210
H       -1.1375160        3.0726600        1.2927920
C       -0.5043050       -1.3267740        0.2823810
O       -0.1546750       -1.9595520       -0.6853610
O       -1.7605660       -0.8678400        0.4535950
C       -2.6507030       -1.1499210       -0.6223160
H       -3.6234050       -0.7700190       -0.3121050
H       -2.3128720       -0.6423390       -1.5291000
H       -2.6968260       -2.2252500       -0.8068990
",-15693.299259351736,-15710.845032421072,-15695.921452813824,-15695.934582458054,-15683.661260232084,-2916.5713566940094,-15710.884454501169,-15695.880806144312
5,"26
0 1 0.062068 
C        0.9608320        0.9215070       -1.2396880
C        2.3175550        0.4055590       -1.1091050
C        0.2777980        1.5309330       -0.2608820
H        0.4283470        0.7151080       -2.1637030
C        3.1374540        0.5310230       -0.0559640
H        2.6622100       -0.1866320       -1.9540320
C        0.3605000       -0.9199230        1.4107600
C        1.6214940       -1.3468580        1.4556720
H        2.8802370        1.1226030        0.8181770
H        4.1168870        0.0644210       -0.0513400
H        2.2868510       -1.0959510        2.2752310
H        2.0032230       -1.9849380        0.6661650
H        0.7173230        1.7637270        0.7093500
H       -0.0839690       -0.3026040        2.1855730
O       -1.0121650        1.9054840       -0.4232170
C       -1.6769390        2.2698240        0.7718430
H       -2.6593550        2.6427740        0.4809410
H       -1.7981990        1.4007700        1.4268150
H       -1.1319980        3.0637650        1.2973680
C       -0.5014970       -1.3087110        0.2712690
O       -0.1538390       -1.9468320       -0.6940390
O       -1.7617010       -0.8634630        0.4500740
C       -2.6586030       -1.1700920       -0.6131750
H       -3.6327960       -0.7976500       -0.2986160
H       -2.3356510       -0.6711800       -1.5301180
H       -2.6937840       -2.2482570       -0.7831390
",-15693.275734883018,-15710.8143181071,-15695.87850748373,-15695.886091360913,-15683.647932874375,-2916.4944742052626,-15710.85586374463,-15695.84499466904
6,"26
0 1 0.063411 
C        0.9649610        0.9208320       -1.2385070
C        2.3131750        0.3908350       -1.0973060
C        0.2797240        1.5251820       -0.2570670
H        0.4339340        0.7162540       -2.1636750
C        3.1169820        0.4979980       -0.0290230
H        2.6602180       -0.2056970       -1.9380950
C        0.3706380       -0.8838500        1.3872050
C        1.6310140       -1.3150690        1.4291950
H        2.8581790        1.0972910        0.8390950
H        4.0888230        0.0160770       -0.0089260
H        2.3026420       -1.0588320        2.2418270
H        2.0009460       -1.9735950        0.6512680
H        0.7201110        1.7605960        0.7117820
H       -0.0668750       -0.2549110        2.1564230
O       -1.0124000        1.8913730       -0.4159890
C       -1.6751880        2.2620620        0.7783220
H       -2.6561580        2.6380140        0.4864680
H       -1.8000550        1.3953980        1.4356490
H       -1.1269830        3.0554490        1.3011680
C       -0.4982580       -1.2925100        0.2617540
O       -0.1529290       -1.9374840       -0.7002940
O       -1.7618830       -0.8596900        0.4476820
C       -2.6631060       -1.1846340       -0.6061340
H       -3.6385070       -0.8178060       -0.2886950
H       -2.3508850       -0.6922370       -1.5302850
H       -2.6899400       -2.2646510       -0.7655460
",-15693.245789112552,-15710.773259872796,-15695.816793034823,-15695.817313428639,-15683.620827669294,-2916.393944050047,-15710.817935319546,-15695.798639263186
7,"26
0 1 0.065223 
C        0.9691200        0.9212150       -1.2378790
C        2.3076640        0.3770560       -1.0868280
C        0.2816730        1.5175640       -0.2517080
H        0.4393860        0.7217270       -2.1647930
C        3.0920980        0.4646790       -0.0013270
H        2.6574780       -0.2242830       -1.9228940
C        0.3809890       -0.8490790        1.3638230
C        1.6423410       -1.2815850        1.3998480
H        2.8326940        1.0757340        0.8579730
H        4.0556830       -0.0325740        0.0363140
H        2.3193450       -1.0238170        2.2073120
H        1.9994540       -1.9604660        0.6338900
H        0.7224810        1.7542110        0.7161830
H       -0.0504880       -0.2121590        2.1296340
O       -1.0116490        1.8770350       -0.4084570
C       -1.6742600        2.2557120        0.7833980
H       -2.6528710        2.6351850        0.4882490
H       -1.8045620        1.3920690        1.4435820
H       -1.1231660        3.0485890        1.3038650
C       -0.4948360       -1.2783410        0.2538680
O       -0.1520070       -1.9313030       -0.7042460
O       -1.7616090       -0.8570340        0.4465240
C       -2.6651290       -1.1947120       -0.6009680
H       -3.6415670       -0.8319230       -0.2820000
H       -2.3599280       -0.7066480       -1.5297810
H       -2.6860250       -2.2758410       -0.7535310
",-15693.20867222407,-15710.717990078967,-15695.724750818603,-15695.720032597415,-15683.574584965681,-2916.264762589745,-15710.767920712009,-15695.73895790733
8,"26
0 1 0.067593 
C        0.9732060        0.9216660       -1.2372060
C        2.3014970        0.3653460       -1.0782770
C        0.2838160        1.5080010       -0.2444080
H        0.4439590        0.7292330       -2.1657690
C        3.0631220        0.4307720        0.0268790
H        2.6553810       -0.2391200       -1.9101810
C        0.3911320       -0.8161070        1.3408260
C        1.6557500       -1.2462380        1.3682240
H        2.8057360        1.0578870        0.8746410
H        4.0195000       -0.0786710        0.0813420
H        2.3349160       -0.9932540        2.1751360
H        1.9994810       -1.9465440        0.6159610
H        0.7252440        1.7471430        0.7220160
H       -0.0359070       -0.1770430        2.1070410
O       -1.0093900        1.8633770       -0.4010100
C       -1.6738690        2.2507680        0.7868350
H       -2.6495160        2.6335730        0.4862900
H       -1.8106450        1.3904670        1.4500060
H       -1.1207550        3.0434100        1.3054220
C       -0.4914010       -1.2661870        0.2476220
O       -0.1510850       -1.9275430       -0.7063380
O       -1.7613170       -0.8554690        0.4463810
C       -2.6656390       -1.2015700       -0.5973270
H       -3.6430160       -0.8415890       -0.2779150
H       -2.3646400       -0.7161270       -1.5289450
H       -2.6825910       -2.2833110       -0.7459120
",-15693.165052969342,-15710.646550458916,-15695.596187818575,-15695.582614089642,-15683.512004611564,-2916.1090431926286,-15710.702488717478,-15695.662904089804
9,"26
0 1 0.070526 
C        0.9773520        0.9214090       -1.2362180
C        2.2949900        0.3564910       -1.0719180
C        0.2858780        1.4963690       -0.2350810
H        0.4477430        0.7370820       -2.1660980
C        3.0307860        0.3957880        0.0556000
H        2.6547130       -0.2482600       -1.9008800
C        0.4006600       -0.7850620        1.3182920
C        1.6718020       -1.2089230        1.3350290
H        2.7812850        1.0454840        0.8880720
H        3.9832510       -0.1194000        0.1226240
H        2.3469990       -0.9703400        2.1494710
H        2.0008950       -1.9345100        0.6007230
H        0.7288450        1.7419100        0.7283970
H       -0.0239110       -0.1509370        2.0896510
O       -1.0056820        1.8510430       -0.3940680
C       -1.6737040        2.2469440        0.7888500
H       -2.6461950        2.6324030        0.4816650
H       -1.8169220        1.3898650        1.4546970
H       -1.1194670        3.0396820        1.3060250
C       -0.4880980       -1.2558990        0.2429690
O       -0.1501900       -1.9253780       -0.7071260
O       -1.7614310       -0.8547370        0.4468890
C       -2.6654750       -1.2062520       -0.5948900
H       -3.6437620       -0.8482200       -0.2758340
H       -2.3668150       -0.7222880       -1.5281280
H       -2.6799870       -2.2882940       -0.7415120
",-15693.114594093428,-15710.558584639413,-15695.418100757925,-15695.40215770068,-15683.43215035074,-2915.9434997958,-15710.617882925353,-15695.567893481671
